Title,Description,Details,Filename,Preliminary assessment: Potentially relevant?,Reviewer,Final inclusion?,Type of PC,Arm,Number of point estimates per outcome,Dichotomisation threshold(s) (%),Number of patients assumed in computing point estimate,Number of responses for point estimate,Exact point estimate(s) (%),95% confidence interval(s) reported,Reported confidence interval(s) (%),Number of bars clipped,Clip point (%)
Association of AR-V7 on Circulating Tumor Cells as a Treatment-Specific Biomarker With Outcomes and Survival in Castration-Resistant Prostate Cancer.,"Scher HI, Lu D, Schreiber NA, Louw J, Graf RP, Vargas HA, Johnson A, Jendrisak A, Bambury R, Danila D, McLaughlin B, Wahl J, Greene SB, Heller G, Marrinucci D, Fleisher M, Dittamore R.",JAMA oncology. 2016 Nov 1; 2(11): 1441-1449,,Yes,MG,No,,,,,,,,,,,
Clinical utility of androgen receptor gene aberrations in circulating cell-free DNA as a biomarker for treatment of castration-resistant prostate cancer.,"Sumiyoshi T, Mizuno K, Yamasaki T, Miyazaki Y, Makino Y, Okasho K, Li X, Utsunomiya N, Goto T, Kobayashi T, Terada N, Inoue T, Kamba T, Fujimoto A, Ogawa O, Akamatsu S.",Scientific Reports. 2019 Mar 11; 9: 4030,,Yes,MG,No,,,,,,,,,,,
Detection of AR-V7 mRNA in whole blood may not predict the effectiveness of novel endocrine drugs for castration-resistant prostate cancer.,"Takeuchi T, Okuno Y, Hattori-Kato M, Zaitsu M, Mikami K.",Research and Reports in Urology. 2016 Jan 28; 8: 21-25,,Yes,MG,No,,,,,,,,,,,
The Influence of Prednisone on the Efficacy of Docetaxel in Men with Metastatic Castration-Resistant Prostate Cancer.,"Teply BA, Luber B, Denmeade SR, Antonarakis ES.",Prostate cancer and prostatic diseases. 2015 Nov 17; 19(1): 72-78,,Yes,MG,No,,,,,,,,,,,
A phase II trial of dasatinib in patients with metastatic castration-resistant prostate cancer treated previously with chemotherapy.,"Twardowski PW, Beumer JH, Chen CS, Kraft AS, Chatta GS, Mitsuhashi M, Ye W, Christner SM, Lilly MB.",Anti-cancer drugs. 2013 Aug; 24(7): 743-753,,Yes,MG,No,,,,,,,,,,,
Abiraterone acetate after progression with enzalutamide in chemotherapy-naïve patients with metastatic castration-resistant prostate cancer: a multi-center retrospective analysis.,"Yamada Y, Matsubara N, Tabata KI, Satoh T, Kamiya N, Suzuki H, Kawahara T, Uemura H, Yano A, Kawakami S.",BMC Research Notes. 2016 Oct 18; 9: 471,,Yes,MG,No,,,,,,,,,,,
Prior switching to a second-line nonsteroidal antiandrogen does not impact the therapeutic efficacy of abiraterone acetate in patients with metastatic castration-resistant prostate cancer: a real-world retrospective study.,"Zhao JG, Liu JD, Shen PF, Tang X, Sun GX, Zhang XM, Chen JR, Shu KP, Shi M, Zeng H.",Asian Journal of Andrology. 2018 Aug 14; 20(6): 545-550,,Yes,MG,No,,,,,,,,,,,
"Phase I rapid dose-escalation study of AGS-1C4D4, a human anti-PSCA (prostate stem cell antigen) monoclonal antibody, in patients with castration-resistant prostate cancer: a PCCTC trial.","Antonarakis ES, Carducci MA, Eisenberger MA, Denmeade SR, Slovin SF, Jelaca-Maxwell K, Vincent ME, Scher HI, Morris MJ.",Cancer chemotherapy and pharmacology. 2011 Oct 22; 69(3): 763-771,Antonarakis (2011) Cancer Chemotherapy and Pharmacology,Yes,MMM,Yes,mCRPC,1,1,-50,13,0,0,No,,0,
Phase Ib Trial of Cabazitaxel and Tasquinimod in Men With Heavily Pretreated Metastatic Castration Resistant Prostate Cancer (mCRPC): The CATCH Trial.,"Armstrong AJ, Humeniuk MS, Healy P, Szmulewitz R, Winters C, Kephart J, Harrison MR, Martinez E, Mundy K, Halabi S, George D.",The Prostate. 2016 Nov 16; 77(4): 385-395,Armstrong (2016) The Prostate,Yes,MMM,Yes,mCRPC,1,1,-50,24,14,58.33333333,No,,0,
Vorinostat in Advanced Prostate Cancer Patients Progressing on Prior Chemotherapy (NCI Trial # 6862): Trial results and IL-6 analysis. A study by the DOD Prostate Cancer Clinical Trial Consortium and University of Chicago Phase II Consortium.,"Bradley D, Rathkopf D, Dunn R, Stadler WM, Liu G, Smith DC, Pili R, Zwiebel J, Scher H, Hussain M.",Cancer. 2009 Dec 1; 115(23): 5541-5549,Bradley (2009) Cancer,Yes,MMM,Yes,mCRPC,1,1,-50,25,0,0,No,,0,
"Open-label, clinical phase I studies of tasquinimod in patients with castration-resistant prostate cancer.","Bratt O, Häggman M, Ahlgren G, Nordle Ö, Björk A, Damber JE.",British Journal of Cancer. 2009 Sep 15; 101(8): 1233-1240,Bratt (2009) British Journal of Cancer,Yes,MMM,Yes,CRPC,1,1,-50,28,2,7.142857143,No,,0,
A Phase II clinical trial of everolimus plus bicalutamide for castration-resistant prostate cancer.,"Chow H, Ghosh PM, White RD, Evans CP, Dall'Era MA, Yap SA, Li Y, Beckett LA, Lara PN Jr, Pan CX.",Cancer. 2016 Mar 28; 122(12): 1897-1904,Chow (2016) Cancer,Yes,MMM,Yes,CRPC,1,1,-30,23,18,78.26086957,Yes,"(53,90)",0,
TMPRSS2-ERG Status in Circulating Tumor Cells as a Predictive Biomarker of Sensitivity in Castration-Resistant Prostate Cancer Patients Treated With Abiraterone Acetate.,"Danila DC, Anand A, Sung CC, Heller G, Leversha MA, Cao L, Lilja H, Molina A, Sawyers CL, Fleisher M, Scher HI.",European urology. 2011 Jul 14; 60(5): 897-904,Danila (2011) European Urology,Yes,MMM,Yes,mCRPC,1,2,-50,15,7,46.66666667,No,,6,10
TMPRSS2-ERG Status in Circulating Tumor Cells as a Predictive Biomarker of Sensitivity in Castration-Resistant Prostate Cancer Patients Treated With Abiraterone Acetate.,"Danila DC, Anand A, Sung CC, Heller G, Leversha MA, Cao L, Lilja H, Molina A, Sawyers CL, Fleisher M, Scher HI.",European urology. 2011 Jul 14; 60(5): 897-904,Danila (2011) European Urology,Yes,MMM,Yes,mCRPC,2,2,-50,26,10,38.46153846,No,,8,10
Early outcome prediction on 18F-fluorocholine PET/CT in metastatic castration-resistant prostate cancer patients treated with abiraterone.,"De Giorgi U, Caroli P, Burgio SL, Menna C, Conteduca V, Bianchi E, Fabbri F, Carretta E, Amadori D, Paganelli G, Matteucci F.",Oncotarget. 2014 Oct 11; 5(23): 12448-12458,De Giorgi (2014) Oncotarget,Yes,MMM,Yes,mCRPC,1,1,-50,42,21,50,No,,4,100
Temsirolimus Maintenance Therapy After Docetaxel Induction in Castration-Resistant Prostate Cancer.,"Emmenegger U, Booth CM, Berry S, Sridhar SS, Winquist E, Bandali N, Chow A, Lee C, Xu P, Man S, Kerbel RS, Ko YJ.",The Oncologist. 2015 Nov 5; 20(12): 1351-1352,Emmenegger (2015) The Oncologist,Yes,MMM,Yes,CRPC,1,1,-50,20,1,5,No,,0,
Samarium-153-EDTMP (Quadramet®) with or without vaccine in metastatic castration-resistant prostate cancer: A randomized Phase 2 trial.,"Heery CR, Madan RA, Stein MN, Stadler WM, Di Paola RS, Rauckhorst M, Steinberg SM, Marté JL, Chen CC, Grenga I, Donahue RN, Jochems C, Dahut WL, Schlom J, Gulley JL.",Oncotarget. 2016 Jul 28; 7(42): 69014-69023,Heery (2016) Oncotarget,Yes,MMM,Yes,mCRPC,1,2,-50,18,0,0,No,,3,100
Samarium-153-EDTMP (Quadramet®) with or without vaccine in metastatic castration-resistant prostate cancer: A randomized Phase 2 trial.,"Heery CR, Madan RA, Stein MN, Stadler WM, Di Paola RS, Rauckhorst M, Steinberg SM, Marté JL, Chen CC, Grenga I, Donahue RN, Jochems C, Dahut WL, Schlom J, Gulley JL.",Oncotarget. 2016 Jul 28; 7(42): 69014-69023,Heery (2016) Oncotarget,Yes,MMM,Yes,mCRPC,2,2,-50,21,3,14.28571429,No,,0,
"Anti-androgenic activity of absorption-enhanced 3, 3’-diindolylmethane in prostatectomy patients.","Hwang C, Sethi S, Heilbrun LK, Gupta NS, Chitale DA, Sakr WA, Menon M, Peabody JO, Smith DW, Sarkar FH, Heath EI.",American Journal of Translational Research. 2016 Jan 15; 8(1): 166-176,Hwang (2016) American Journal of Translational Research,Yes,MMM,Yes,Localised PC,1,1,0,23,16,69.56521739,No,,0,
"Lenalidomide in Nonmetastatic Biochemically Relapsed Prostate Cancer: Results of a Phase I/II Double-Blinded, Randomized Study.","Keizman D, Zahurak M, Sinibaldi V, Carducci M, Denmeade S, Drake C, Pili R, Antonarakis ES, Hudock S, Eisenberger M.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2010 Oct 26; 16(21): 5269-5276,Keizman (2010) Clinical Cancer Research,Yes,MMM,Yes,"(nC, nM) Relapsed PC",1,1,-50,60,6,10,No,,0,
A phase II study evaluating the toxicity and efficacy of single-agent temsirolimus in chemotherapy-naïve castration-resistant prostate cancer.,"Kruczek K, Ratterman M, Tolzien K, Sulo S, Lestingi TM, Nabhan C.",British Journal of Cancer. 2013 Sep 5; 109(7): 1711-1716,Kruczek (2013) British Journal of Cancer,Yes,MMM,Yes,CRPC,1,1,-50,14,1,7.142857143,No,,0,
Pre-existing levels of CD4 T cells expressing PD-1 are related to overall survival in prostate cancer patients treated with ipilimumab.,"Kwek SS, Lewis J, Zhang L, Weinberg V, Greaney S, Harzstark A, Lin A, Ryan C, Small EJ, Fong L.",Cancer immunology research. 2015 May 12; 3(9): 1008-1016,Kwek (2015) Cancer Immunology Research,Yes,MMM,Yes,mCRPC,1,1,-50,41,5,12.19512195,No,,13,100
Phase-1 study of abiraterone acetate in chemotherapy-naïve Japanese patients with castration-resistant prostate cancer.,"Matsubara N, Uemura H, Fukui I, Niwakawa M, Yamaguchi A, Iizuka K, Akaza H.",Cancer Science. 2014 Oct 4; 105(10): 1313-1320,Matsubara (2014) Cancer Science,Yes,MMM,Yes,CRPC,1,1,-50,27,20,74.07407407,No,,0,
"Pharmacodynamic study of the oral hedgehog pathway inhibitor, vismodegib, in patients with metastatic castration-resistant prostate cancer.","Maughan BL, Suzman DL, Luber B, Wang H, Glavaris S, Hughes R, Sullivan R, Harb R, Boudadi K, Paller C, Eisenberger M, Demarzo A, Ross A, Antonarakis ES.",Cancer chemotherapy and pharmacology. 2016 Nov 8; 78(6): 1297-1304,Maughan (2016) Cancer Chemotherapy and Pharmacology,Yes,MMM,Yes,mCRPC,1,1,0,7,0,0,No,,0,
Multicenter phase II study of trabectedin in patients with metastatic castration-resistant prostate cancer.,"Michaelson MD, Bellmunt J, Hudes GR, Goel S, Lee RJ, Kantoff PW, Stein CA, Lardelli P, Pardos I, Kahatt C, Nieto A, Cullell-Young M, Lewis NL, Smith MR.",Annals of Oncology. 2011 Sep 19; 23(5): 1234-1240,Michaelson (2011) Annals of Oncology,Yes,MMM,Yes,mCRPC,1,2,-50,32,5,15.625,No,,0,
Multicenter phase II study of trabectedin in patients with metastatic castration-resistant prostate cancer.,"Michaelson MD, Bellmunt J, Hudes GR, Goel S, Lee RJ, Kantoff PW, Stein CA, Lardelli P, Pardos I, Kahatt C, Nieto A, Cullell-Young M, Lewis NL, Smith MR.",Annals of Oncology. 2011 Sep 19; 23(5): 1234-1240,Michaelson (2011) Annals of Oncology,Yes,MMM,Yes,mCRPC,2,2,-50,19,4,21.05263158,No,,0,
A phase I/IIA study of AGS-PSCA for castration-resistant prostate cancer.,"Morris MJ, Eisenberger MA, Pili R, Denmeade SR, Rathkopf D, Slovin SF, Farrelly J, Chudow JJ, Vincent M, Scher HI, Carducci MA.",Annals of Oncology. 2012 May 2; 23(10): 2714-2719,Morris (2012) Annals of Oncology,Yes,MMM,Yes,CRPC,1,1,-25,47,2,4.255319149,No,,0,
"Response to flutamide, as second-line therapy after bicalutamide, predicts efficacy of abiraterone, not that of enzalutamide.","Nakai Y, Tanaka N, Miyake M, Inoue T, Anai S, Fujimoto K.",BMC Research Notes. 2018 May 29; 11: 342,Nakai (2018) BMC Research Notes,Yes,MMM,Yes,CRPC,1,4,0,15,12,80,No,,0,
"Response to flutamide, as second-line therapy after bicalutamide, predicts efficacy of abiraterone, not that of enzalutamide.","Nakai Y, Tanaka N, Miyake M, Inoue T, Anai S, Fujimoto K.",BMC Research Notes. 2018 May 29; 11: 342,Nakai (2018) BMC Research Notes,Yes,MMM,Yes,CRPC,2,4,0,19,6,31.57894737,No,,0,
"Response to flutamide, as second-line therapy after bicalutamide, predicts efficacy of abiraterone, not that of enzalutamide.","Nakai Y, Tanaka N, Miyake M, Inoue T, Anai S, Fujimoto K.",BMC Research Notes. 2018 May 29; 11: 342,Nakai (2018) BMC Research Notes,Yes,MMM,Yes,CRPC,3,4,0,16,13,81.25,No,,0,
"Response to flutamide, as second-line therapy after bicalutamide, predicts efficacy of abiraterone, not that of enzalutamide.","Nakai Y, Tanaka N, Miyake M, Inoue T, Anai S, Fujimoto K.",BMC Research Notes. 2018 May 29; 11: 342,Nakai (2018) BMC Research Notes,Yes,MMM,Yes,CRPC,4,4,0,16,14,87.5,No,,0,
A phase II trial of personalized peptide vaccination in castration-resistant prostate cancer patients: prolongation of prostate-specific antigen doubling time.,"Noguchi M, Moriya F, Suekane S, Ohnishi R, Matsueda S, Sasada T, Yamada A, Itoh K.",BMC Cancer. 2013 Dec 30; 13: 613,Noguchi (2013) BMC Cancer,Yes,MMM,Yes,CRPC,1,1,-50,97,18,18.55670103,No,,18,110
Pilot Phase II Trial of Bevacizumab Monotherapy in Nonmetastatic Castrate-Resistant Prostate Cancer.,"Ogita S, Tejwani S, Heilbrun L, Fontana J, Heath E, Freeman S, Smith D, Baranowski K, Vaishampayan U.",ISRN Oncology. 2012 Jun 13; 2012: 242850,Ogita (2012) ISRN Oncology,Yes,MMM,Yes,nmCRPC,1,1,-50,15,0,0,No,,0,0
"Multicenter Phase 2 Trial of the Hsp-90 Inhibitor, IPI-504 (retaspimycin hydrochloride), in Patients with Castration-Resistant Prostate Cancer.","Oh WK, Galsky MD, Stadler WM, Srinivas S, Chu F, Bubley G, Goddard J, Dunbar J, Ross RW.",Urology. 2011 Jul 18; 78(3): 626-630,Oh (2011) Urology,Yes,MMM,Yes,CRPC,1,1,-50,18,0,0,No,,0,
"Phase I Study of ARN-509, a Novel Antiandrogen, in the Treatment of Castration-Resistant Prostate Cancer.","Rathkopf DE, Morris MJ, Fox JJ, Danila DC, Slovin SF, Hager JH, Rix PJ, Chow Maneval E, Chen I, Gönen M, Fleisher M, Larson SM, Sawyers CL, Scher HI.",Journal of Clinical Oncology. 2013 Sep 3; 31(28): 3525-3530,Rathkopf (2013) Journal of Clinical Oncology,Yes,MMM,Yes,mCRPC,1,1,-50,30,14,46.66666667,No,,2,100
"Phase I Study of Ixabepilone, Mitoxantrone, and Prednisone in Patients With Metastatic Castration-Resistant Prostate Cancer Previously Treated With Docetaxel-Based Therapy: A Study of the Department of Defense Prostate Cancer Clinical Trials Consortium.","Rosenberg JE, Ryan CJ, Weinberg VK, Smith DC, Hussain M, Beer TM, Ryan CW, Mathew P, Pagliaro LC, Harzstark AL, Sharib J, Small EJ.",Journal of Clinical Oncology. 2009 Apr 6; 27(17): 2772-2778,Rosenberg (2009) Journal of Clinical Oncology,Yes,MMM,Yes,mCRPC,1,1,-50,20,9,45,Yes,"(22,66)",0,
Androgen dynamics and serum PSA in patients treated with abiraterone acetate.,"Ryan CJ, Peng W, Kheoh T, Welkowsky E, Haqq CM, Chandler DW, Scher HI, Molina A.",Prostate Cancer and Prostatic Diseases. 2014 Mar 18; 17(2): 192-198,Ryan (2014) Prostate Cancer and Prostatic Diseases,Yes,MMM,Yes,mCRPC,1,2,-50,72,26,36.11111111,No,,23,100
Androgen dynamics and serum PSA in patients treated with abiraterone acetate.,"Ryan CJ, Peng W, Kheoh T, Welkowsky E, Haqq CM, Chandler DW, Scher HI, Molina A.",Prostate Cancer and Prostatic Diseases. 2014 Mar 18; 17(2): 192-198,Ryan (2014) Prostate Cancer and Prostatic Diseases,Yes,MMM,Yes,mCRPC,2,2,-50,37,4,10.81081081,No,,20,100
"Ipilimumab alone or in combination with radiotherapy in metastatic castration-resistant prostate cancer: results from an open-label, multicenter phase I/II study.","Slovin SF, Higano CS, Hamid O, Tejwani S, Harzstark A, Alumkal JJ, Scher HI, Chin K, Gagnier P, McHenry MB, Beer TM.",Annals of Oncology. 2013 Mar 27; 24(7): 1813-1821,Slovin (2013) Annals of Oncology,Yes,MMM,Yes,mCRPC,1,1,-50,66,17,25.75757576,No,,0,
Transdermal estradiol in castrate and chemotherapy resistant prostate cancer.,"Stein M, Goodin S, Doyle-Lindrud S, Silberberg J, Kane M, Metzger D, Eddy S, Shih W, DiPaola RS.",Medical Science Monitor : International Medical Journal of Experimental and Clinical Research. 2012 Apr 1; 18(4): CR260-CR264,Stein (2012) Medical Science Monitor,Yes,MMM,Yes,mCRPC,1,1,-50,20,2,10,No,,0,
Prospective International Randomized Phase II Study of Low-Dose Abiraterone With Food Versus Standard Dose Abiraterone In Castration-Resistant Prostate Cancer.,"Szmulewitz RZ, Peer CJ, Ibraheem A, Martinez E, Kozloff MF, Carthon B, Harvey RD, Fishkin P, Yong WP, Chiong E, Nabhan C, Karrison T, Figg WD, Stadler WM, Ratain MJ.",Journal of Clinical Oncology. 2018 Mar 28; 36(14): 1389-1395,Szmulewitz (2018) Journal of Clinical Oncology,Yes,MMM,Yes,CRPC,1,2,-50,30,18,60,No,,0,
Prospective International Randomized Phase II Study of Low-Dose Abiraterone With Food Versus Standard Dose Abiraterone In Castration-Resistant Prostate Cancer.,"Szmulewitz RZ, Peer CJ, Ibraheem A, Martinez E, Kozloff MF, Carthon B, Harvey RD, Fishkin P, Yong WP, Chiong E, Nabhan C, Karrison T, Figg WD, Stadler WM, Ratain MJ.",Journal of Clinical Oncology. 2018 Mar 28; 36(14): 1389-1395,Szmulewitz (2018) Journal of Clinical Oncology,Yes,MMM,Yes,CRPC,2,2,-50,27,19,70.37037037,No,,0,
Phase II Trial of Abiraterone Acetate Plus Prednisone in Black Men With Metastatic Prostate Cancer.,"Tsao CK, Sfakianos J, Liaw B, Gimpel-Tetra K, Kemeny M, Bulone L, Shahin M, Oh WK, Galsky MD.",The Oncologist. 2016 Oct 14; 21(12): 1414-e9,Tsao (2016) The Oncologist,Yes,MMM,Yes,mCRPC,1,1,-30,10,9,90,No,,0,
Phase II Trial of Capecitabine and Weekly Docetaxel for Metastatic Castrate Resistant Prostate Cancer.,"Vaishampayan UN, Marur S, Heilbrun LK, Cher ML, Dickow B, Smith DW, Al Hasan SA, Eliason J.",The Journal of urology. 2009 May 17; 182(1): 10.1016/j.juro.2009.02.105,Vaishampayan (2009) The Journal of Urology,Yes,MMM,Yes,mCRPC,1,1,-50,31,22,70.96774194,No,,0,
"A Phase II Trial of Selinexor, an Oral Selective Inhibitor of Nuclear Export Compound, in Abiraterone‐ and/or Enzalutamide‐Refractory Metastatic Castration‐Resistant Prostate Cancer.","Wei XX, Siegel AP, Aggarwal R, Lin AM, Friedlander TW, Fong L, Kim W, Louttit M, Chang E, Zhang L, Ryan CJ.",The Oncologist. 2018 Feb 27; 23(6): 656-e64,Wei (2018) The Oncologist,Yes,MMM,Yes,mCRPC,1,1,-50,14,2,14.28571429,No,,3,100
Phase II Study of Dasatinib in Patients with Metastatic Castration-Resistant Prostate Cancer.,"Yu EY, Wilding G, Posadas E, Gross M, Culine S, Massard C, Morris MJ, Hudes G, Calabrò F, Cheng S, Trudel GC, Paliwal P, Sternberg CN.",Clinical Cancer Research. 2009 Nov 17; 15(23): 7421-7428,Yu (2009) Clinical Cancer Research,Yes,MMM,Yes,mCRPC,1,1,-50,44,2,4.545454545,No,,0,
Germline DNA-repair Gene Mutations and Outcomes in Men with Metastatic Castration-resistant Prostate Cancer Receiving First-line Abiraterone and Enzalutamide.,"Antonarakis ES, Lu C, Luber B, Liang C, Wang H, Chen Y, Silberstein JL, Piana D, Lai Z, Chen Y, Isaacs WB, Luo J.",European urology. 2018 Feb 10; 74(2): 218-225,,Yes,MMM,No,,,,,,,,,,,
"Docetaxel and dasatinib or placebo in men with metastatic castration-resistant prostate cancer (READY): a randomised, double-blind phase 3 trial.","Araujo JC, Trudel GC, Saad F, Armstrong AJ, Yu EY, Bellmunt J, Wilding G, McCaffrey J, Serrano SV, Matveev VB, Efstathiou E, Oudard S, Morris MJ, Sizer B, Goebell PJ, Heidenreich A, de Bono JS, Begbie S, Hong JH, Richardet E, Gallardo E, Paliwal P, Durham S, Cheng S, Logothetis CJ.",The Lancet. Oncology. 2013 Nov 8; 14(13): 1307-1316,,Yes,MMM,No,,,,,,,,,,,
Influence of Statins on Survival Outcome in Patients with Metastatic Castration Resistant Prostate Cancer Treated with Abiraterone Acetate.,"Boegemann M, Schlack K, Fischer AK, Gerß J, Steinestel J, Semjonow A, Schrader AJ, Krabbe LM.",PLoS ONE. 2016 Sep 1; 11(9): e0161959,,Yes,MMM,No,,,,,,,,,,,
Ipilimumab plus nivolumab and DNA-repair defects in AR-V7-expressing metastatic prostate cancer.,"Boudadi K, Suzman DL, Anagnostou V, Fu W, Luber B, Wang H, Niknafs N, White JR, Silberstein JL, Sullivan R, Dowling D, Harb R, Nirschl TR, Veeneman BA, Tomlins SA, Wang Y, Jendrisak A, Graf RP, Dittamore R, Carducci MA, Eisenberger MA, Haffner MC, Meeker AK, Eshleman JR, Luo J, Velculescu VE, Drake CG, Antonarakis ES.",Oncotarget. 2018 Jun 19; 9(47): 28561-28571,,Yes,MMM,No,,,,,,,,,,,
"Phase III, Randomized, Double-Blind, Multicenter Trial Comparing Orteronel (TAK-700) Plus Prednisone With Placebo Plus Prednisone in Patients With Metastatic Castration-Resistant Prostate Cancer That Has Progressed During or After Docetaxel-Based Therapy: ELM-PC 5.","Fizazi K, Jones R, Oudard S, Efstathiou E, Saad F, de Wit R, De Bono J, Cruz FM, Fountzilas G, Ulys A, Carcano F, Agarwal N, Agus D, Bellmunt J, Petrylak DP, Lee SY, Webb IJ, Tejura B, Borgstein N, Dreicer R.",Journal of Clinical Oncology. 2015 Jan 26; 33(7): 723-731,,Yes,MMM,No,,,2,>=50% reduction,"734, 365","183 (25%), 36 (10%)",15.1% RD,,"(10.5%, 19.7%)",NR & can't read plot,
ERG induces taxane resistance in castration-resistant prostate cancer.,"Galletti G, Matov A, Beltran H, Fontugne J, Miguel Mosquera J, Cheung C, MacDonald TY, Sung M, O’Toole S, Kench JG, Suk Chae S, Kimovski D, Tagawa ST, Nanus DM, Rubin MA, Horvath LG, Giannakakou P, Rickman DS.",Nature Communications. 2014 Nov 25; 5: 5548,,Yes,MMM,No,,,,,,,,,,,
Baseline prostate-specific antigen levels following treatment with abiraterone acetate as a prognostic factor in castration-resistant prostate cancer.,"Hiroshige T, Eguchi Y, Yoshizumi O, Chikui K, Kumagai H, Kawaguchi Y, Onishi R, Hayashi T, Watanabe K, Mitani T, Saito K, Igawa T.",Oncology Letters. 2018 Mar 14; 15(5): 6806-6814,,Yes,MMM,No,,,,,,,,,,,
Second line chemotherapy and visceral metastases are associated with poor survival in patients with mCRPC receiving 177Lu-PSMA-617.,"Kessel K, Seifert R, Schäfers M, Weckesser M, Schlack K, Boegemann M, Rahbar K.",Theranostics. 2019 Jul 9; 9(17): 4841-4848,,Yes,MMM,No,,,,,,,,,,,
Clinical activity of abiraterone plus prednisone in docetaxel-naïve and docetaxel-resistant Chinese patients with metastatic castration-resistant prostate cancer.,"Lin GW, Li GX, Dai B, Ye DW, Kong YY, Wang Y, Shen YJ.",Asian Journal of Andrology. 2018 Nov 16; 21(2): 131-136,,Yes,MMM,No,,,,,,,,,,,
Tumour responses following a steroid switch from prednisone to dexamethasone in castration-resistant prostate cancer patients progressing on abiraterone.,"Lorente D, Omlin A, Ferraldeschi R, Pezaro C, Perez R, Mateo J, Altavilla A, Zafeirou Z, Tunariu N, Parker C, Dearnaley D, Gillessen S, de Bono J, Attard G.",British Journal of Cancer. 2014 Oct 14; 111(12): 2248-2253,,Yes,MMM,No,,,,,,,,,,,
Early abiraterone acetate treatment is beneficial in Japanese castration-resistant prostate cancer after failure of primary combined androgen blockade.,"Nagai T, Naiki T, Iida K, Etani T, Ando R, Hamamoto S, Sugiyama Y, Akita H, Kubota H, Hashimoto Y, Kawai N, Yasui T.",Prostate International. 2017 Aug 9; 6(1): 18-23,,Yes,MMM,No,,,,,,,,,,,
Mutations in BRCA2 and taxane resistance in prostate cancer.,"Nientiedt C, Heller M, Endris V, Volckmar AL, Zschäbitz S, Tapia-Laliena MA, Duensing A, Jäger D, Schirmacher P, Sültmann H, Stenzinger A, Hohenfellner M, Grüllich C, Duensing S.",Scientific Reports. 2017 Jul 4; 7: 4574,,Yes,MMM,No,,,,,,,,,,,
Worth a local treatment? – Analysis of modern radiotherapy concepts for oligometastatic prostate cancer.,"Oertel M, Scobioala S, Kroeger K, Baehr A, Stegger L, Haverkamp U, Schäfers M, Eich HT.","Radiation Oncology (London, England). 2018 Sep 21; 13: 185",,Yes,MMM,No,,,1,0,17,15,88.23529412,No,,0,
A population-based study of the use of radium 223 in metastatic castration-resistant prostate cancer: Factors associated with treatment completion.,"Parimi S, Tsang E, Alexander A, McKenzie M, Bachand F, Sunderland K, Chi KN, Aparicio M, Worsley D, Tyldesley S.",Canadian Urological Association Journal. 2017 Oct; 11(10): 350-355,,Yes,MMM,No,,,,,,,,,,,
Radium-223 in patients with metastatic castration-resistant prostate cancer: Efficacy and safety in clinical practice.,"Prelaj A, Rebuzzi SE, Buzzacchino F, Pozzi C, Ferrara C, Frantellizzi V, Follacchio GA, Civitelli L, De Vincentis G, Tomao S, Bianco V.",Oncology Letters. 2018 Nov 30; 17(2): 1467-1476,,Yes,MMM,No,,,,,,,,,,,
The efficacy and toxicity of cabazitaxel for treatment of docetaxel-resistant prostate cancer correlating with the initial doses in Japanese patients.,"Terada N, Kamoto T, Tsukino H, Mukai S, Akamatsu S, Inoue T, Ogawa O, Narita S, Habuchi T, Yamashita S, Mitsuzuka K, Arai Y, Kandori S, Kojima T, Nishiyama H, Kawamura Y, Shimizu Y, Terachi T, Sugi M, Kinoshita H, Matsuda T, Yamada Y, Yamamoto S, Hirama H, Sugimoto M, Kakehi Y, Sakurai T, Tsuchiya N.",BMC Cancer. 2019 Feb 15; 19: 156,,Yes,MMM,No,,,,,,,,,,,
Prostate Cancer Cell–Stromal Cell Cross-Talk via FGFR1 Mediates Antitumor Activity of Dovitinib in Bone Metastases.,"Wan X, Corn PG, Yang J, Palanisamy N, Starbuck MW, Efstathiou E, Li-Ning Tapia EM, Zurita AJ, Aparicio A, Ravoori MK, Vazquez ES, Robinson DR, Wu YM, Cao X, Iyer MK, McKeehan W, Kundra V, Wang F, Troncoso P, Chinnaiyan AM, Logothetis CJ, Navone NM.",Science translational medicine. 2014 Sep 3; 6(252): 252ra122,,Yes,MMM,No,,,,,,,,,,,
Accelerating Translational Research by Clinically Driven Development of an Informatics Platform–A Case Study.,"Abugessaisa I, Saevarsdottir S, Tsipras G, Lindblad S, Sandin C, Nikamo P, Ståhle M, Malmström V, Klareskog L, Tegnér J.",PLoS ONE. 2014 Sep 9; 9(9): e104382,,No,,,,,,,,,,,,,
Phase I Study of Intrapleural Gene-Mediated Cytotoxic Immunotherapy in Patients with Malignant Pleural Effusion.,"Aggarwal C, Haas AR, Metzger S, Aguilar LK, Aguilar-Cordova E, Manzanera AG, Gómez-Hernández G, Katz SI, Alley EW, Evans TL, Bauml JM, Cohen RB, Langer CJ, Albelda SM, Sterman DH.",Molecular Therapy. 2018 Feb 21; 26(5): 1198-1205,,No,,,,,,,,,,,,,
